ID     IAUNAME     M2    Teffwd
3195     SDSSJ221400.06-002929.1     0.255    9509
44     SDSSJ003731.07+010947.0     0.319    9619
1080     SDSSJ134557.68+330050.6     0.464    9619
1188     SDSSJ151045.70+404827.0     0.431    9619
1201     SDSSJ152121.75+321111.8     0.255    9619
1502     SDSSJ223024.36-004607.4     0.255    9619
1507     SDSSJ223435.22+011248.5     0.319    9619
1889     SDSSJ153314.26+274408.0     0.319    9619
2226     SDSSJ183453.07+413757.7     0.319    9619
2958     SDSSJ135838.33+343419.0     0.319    9619
1277     SDSSJ160132.21+063901.7     0.464    9731
1521     SDSSJ224932.02+000645.7     0.196    9731
2218     SDSSJ162354.45+630640.4     0.319    9731
2308     SDSSJ161551.60+454048.6     0.319    9731
2360     SDSSJ005308.35+085631.6     0.255    9731
2706     SDSSJ094017.35+055743.9     0.149    9731
2821     SDSSJ111750.07+094152.0     0.149    9731
3038     SDSSJ150406.12+563535.1     0.196    9731
312     SDSSJ074805.69+381805.8     0.149    9844
503     SDSSJ085542.49+044717.7     0.196    9844
659     SDSSJ095250.11+324328.8     0.38    9844
896     SDSSJ114720.00+112813.3     0.464    9844
1210     SDSSJ152517.89+362945.2     0.319    9844
1228     SDSSJ153421.88+391550.0     0.319    9844
1288     SDSSJ160821.47+085149.9     0.196    9844
1600     SDSSJ235324.74+351623.2     0.255    9844
2187     SDSSJ141052.79+375435.6     0.464    9844
2326     SDSSJ001744.97+001203.4     0.464    9844
2610     SDSSJ083338.75+395457.1     0.171    9844
2783     SDSSJ104902.59+444111.1     0.255    9844
2983     SDSSJ141804.88+163718.3     0.149    9844
237     SDSSJ032317.00-002612.7     0.464    9958
419     SDSSJ082526.45-010929.2     0.319    9958
1056     SDSSJ132914.89+114723.0     0.196    9958
1558     SDSSJ232816.06+010036.0     0.38    9958
1846     SDSSJ141451.60+193638.9     0.196    9958
2130     SDSSJ110854.22-145147.0     0.431    9958
2213     SDSSJ152852.32+492054.7     0.319    9958
2402     SDSSJ012946.27+281353.5     0.149    9958
2436     SDSSJ015935.97+320922.5     0.38    9958
2901     SDSSJ125119.29+384158.3     0.196    9958
3274     SDSSJ235135.61+144411.1     0.196    9958
1535     SDSSJ231014.62+001439.9     0.38    10019
474     SDSSJ084307.27+122610.1     0.196    10073
768     SDSSJ104012.99+252559.9     0.149    10073
838     SDSSJ111530.01+664300.9     0.196    10073
1029     SDSSJ131156.69+544455.8     0.431    10073
1530     SDSSJ230332.51+003258.4     0.35    10073
2143     SDSSJ112308.40-115559.3     0.255    10073
2199     SDSSJ143143.83+565728.2     0.255    10073
2214     SDSSJ153009.49+384439.8     0.431    10073
2707     SDSSJ094106.62+111855.2     0.12    10073
3017     SDSSJ144518.47+463228.4     0.149    10073
3079     SDSSJ154550.75+265402.4     0.196    10073
3111     SDSSJ162223.26+085422.8     0.196    10073
3216     SDSSJ224052.58+063335.5     0.196    10073
3248     SDSSJ230829.88+315929.1     0.149    10073
389     SDSSJ081449.79+405920.7     0.255    10189
502     SDSSJ085509.49+133947.0     0.255    10189
1235     SDSSJ154140.50+222710.1     0.319    10189
1298     SDSSJ161145.88+010327.8     0.196    10189
1466     SDSSJ213945.20+102904.6     0.38    10189
1550     SDSSJ232353.90+004727.3     0.319    10189
1696     SDSSJ084730.62+111127.0     0.319    10189
2173     SDSSJ131247.93-003427.5     0.431    10189
2279     SDSSJ100144.19+315111.5     0.196    10189
2376     SDSSJ010829.52+235906.9     0.196    10189
2476     SDSSJ072329.51+425145.2     0.12    10189
2488     SDSSJ073314.23+413724.6     0.431    10189
2701     SDSSJ093714.12+475205.1     0.196    10189
2748     SDSSJ101106.16+481056.1     0.319    10189
2844     SDSSJ114001.03+450041.3     0.196    10189
2898     SDSSJ124734.54+454033.8     0.255    10189
3058     SDSSJ152533.70+505842.5     0.196    10189
59     SDSSJ004740.75-000019.5     0.361    10192
1411     SDSSJ174214.71+541845.1     0.464    10262
154     SDSSJ021504.74-004742.8     0.255    10307
574     SDSSJ092200.71+181714.1     0.38    10307
641     SDSSJ094634.49+203003.4     0.255    10307
733     SDSSJ102005.05+365342.8     0.12    10307
1193     SDSSJ151714.96+423924.7     0.38    10307
1296     SDSSJ161113.13+464044.2     0.255    10307
1330     SDSSJ162652.19+141522.4     0.431    10307
1573     SDSSJ233919.64-000233.4     0.38    10307
1946     SDSSJ165802.33+391611.1     0.319    10307
2059     SDSSJ075051.85+085020.1     0.38    10307
2087     SDSSJ085634.83+373913.4     0.319    10307
2321     SDSSJ001008.21-060553.4     0.255    10307
2354     SDSSJ004552.36+334159.4     0.149    10307
2462     SDSSJ024841.61-043105.0     0.319    10307
2986     SDSSJ141947.64+140004.2     0.12    10307
3209     SDSSJ223459.72+155339.8     0.149    10307
837     SDSSJ111459.93+092411.0     0.255    10367
1544     SDSSJ231901.24-004949.3     0.12    10367
382     SDSSJ081312.09+324758.6     0.255    10427
746     SDSSJ102625.70+344525.6     0.196    10427
932     SDSSJ121048.46+054924.1     0.319    10427
2164     SDSSJ124910.54+284333.7     0.38    10427
2405     SDSSJ013253.98+210321.8     0.319    10427
2424     SDSSJ014935.04+100924.0     0.196    10427
2523     SDSSJ075646.43+515420.4     0.12    10427
2639     SDSSJ084416.42+091351.8     0.255    10427
2674     SDSSJ091123.21+153345.1     0.149    10427
2693     SDSSJ092544.41+564001.1     0.196    10427
2764     SDSSJ103130.45+461159.1     0.12    10427
2797     SDSSJ105734.92+343902.0     0.149    10427
2900     SDSSJ125058.70+315501.1     0.196    10427
3028     SDSSJ145506.63+335913.9     0.196    10427
3167     SDSSJ211853.90+084400.0     0.38    10427
908     SDSSJ115156.94-000725.4     0.196    10428
367     SDSSJ080653.95+160729.8     0.38    10548
423     SDSSJ082609.72+194126.3     0.319    10548
539     SDSSJ091143.09+222748.8     0.38    10548
555     SDSSJ091651.31+403629.8     0.319    10548
949     SDSSJ122315.41+313755.4     0.38    10548
965     SDSSJ123152.95+553525.5     0.255    10548
978     SDSSJ123834.36+362742.0     0.196    10548
1245     SDSSJ154656.30+214201.5     0.196    10548
1765     SDSSJ113511.13+000923.9     0.319    10548
1854     SDSSJ143628.56+145933.5     0.149    10548
2033     SDSSJ044831.02+214909.8     0.38    10548
2074     SDSSJ083630.34-041018.9     0.38    10548
2122     SDSSJ110517.60+385125.7     0.38    10548
2135     SDSSJ111501.51-120321.9     0.255    10548
2288     SDSSJ105623.84+025428.3     0.319    10548
2331     SDSSJ002438.46-024024.6     0.319    10548
2539     SDSSJ080359.20+075022.4     0.149    10548
2541     SDSSJ080433.86+415044.5     0.407    10548
2749     SDSSJ101254.48+004737.6     0.255    10548
2767     SDSSJ103248.01+282645.3     0.12    10548
2841     SDSSJ113841.04+171132.7     0.118    10548
3000     SDSSJ142953.46+522353.5     0.225    10548
3229     SDSSJ225545.08+331515.1     0.196    10548
3238     SDSSJ230243.23+150822.2     0.118    10548
3243     SDSSJ230653.97+130617.3     0.319    10548
1236     SDSSJ154219.44+032310.9     0.38    10550
305     SDSSJ074452.37+192526.0     0.35    10610
13     SDSSJ001855.19+002134.5     0.38    10670
27     SDSSJ002921.27-002032.8     0.38    10670
238     SDSSJ032417.11+000131.3     0.38    10670
505     SDSSJ085557.45+053524.5     0.38    10670
609     SDSSJ093311.91+092642.3     0.255    10670
648     SDSSJ094821.30+365935.3     0.38    10670
902     SDSSJ114913.52-014728.6     0.319    10670
1018     SDSSJ125944.59+154456.2     0.319    10670
1060     SDSSJ133058.19+012706.5     0.255    10670
1072     SDSSJ134051.00+321015.9     0.255    10670
1234     SDSSJ154136.48+271635.5     0.319    10670
1448     SDSSJ211105.16+004041.6     0.319    10670
1598     SDSSJ235027.59+004358.7     0.431    10670
2075     SDSSJ084221.35+544834.5     0.319    10670
2145     SDSSJ112651.03-081640.1     0.431    10670
2205     SDSSJ144600.37+000817.0     0.255    10670
2276     SDSSJ093858.36+340139.2     0.149    10670
2373     SDSSJ010449.43+071931.9     0.319    10670
2465     SDSSJ025358.86-031415.6     0.255    10670
2469     SDSSJ034027.66-002345.4     0.196    10670
2483     SDSSJ073023.63+383207.2     0.431    10670
2524     SDSSJ075749.25+412523.0     0.38    10670
2628     SDSSJ083938.54+395440.5     0.319    10670
2697     SDSSJ092859.37+484640.2     0.38    10670
