# telescope   = tel06
# season      = 2011-2022
# filter      = RG715
# aperture    = 8.000                pix
# deblend     = 0
# lspmname    = J1709+4340
# nltt        = 44290
# hip         = 83945
# ascc        = 416422
# twomass     = 17093153+4340531
# usnob       = 1336-0280975
# ra          = 17:09:31.552         hr
# dec         = +43:40:52.99         deg
# pmra        = 0.331                arcsec/yr
# pmdec       = -0.274               arcsec/yr
# aflag       = S 
# plx         = 0.134597082936454    arcsec
# e_plx       = 0.000489399205367269 arcsec
# r_plx       = 2018A&A...616A...1G
# distmod     = -0.645178238580593   mag
# s_distmod   = T
# bjmag       = 13.7                 mag
# rfmag       = 10.7                 mag
# jmag        = 7.38                 mag
# e_jmag      = 0.019                mag
# q_jmag      = A
# hmag        = 6.757                mag
# e_hmag      = 0.016                mag
# q_hmag      = E
# kmag        = 6.485                mag
# e_kmag      = 0.016                mag
# q_kmag      = A
# vest        = 11.78                mag
# s_vest      = A
# vmjest      = 4.4                  mag
# vmag        = 11.77                mag
# rcmag       = 10.5601              mag
# icmag       = 8.97656              mag
# r_vrimag    = 1984ApJS...55..289W
# spectype    = M3.5
# r_spectype  = 1994AJ....108.1437H
# mass        = 0.285519234786466    Msol
# radius      = 0.302209515191391    Rsol
# null_dc[1]  = 0.000131             mag
# null_dc[2]  = 0.001156             mag
# null_cm     = 0.592843             mag/mag
# null_fwhm_k = -0.002568            mag/pix
# null_fwhm_0 = 2.747000             pix
# null_chidof = 4.238
# null_nfit   = 6807
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2459164.573431   -0.020590    0.007545   2.414  0.0413  2.740 0.096 1.71667  1024.530  1026.642    0.02    10.65 10555  1 13 0 0  0.002082   -0.021973
2459164.573822   -0.014576    0.006956   2.414  0.0318  3.202 0.131 1.72084  1024.817  1025.165    0.02    11.00  8487  1 13 0 0  0.002089   -0.014776
2459164.590842   -0.000694    0.008433   2.414  0.0576  3.472 0.058 1.92860  1021.698  1025.372    0.03    11.73  7099  1 13 0 0  0.002060   -0.000184
2459164.591235   -0.007769    0.008590   2.414  0.0510  3.257 0.069 1.93407  1026.061  1025.260    0.02    12.23  8869  1 13 0 0  0.002056   -0.007808
2459164.591621   -0.013687    0.010641   2.414  0.0492  3.133 0.062 1.93949  1025.296  1020.798    0.02    12.66  9201  1 13 0 0  0.002053   -0.014043
2459164.591995   -0.014515    0.013536   2.414  0.0613  2.914 0.089 1.94475  1025.454  1022.170    0.02    12.90  8761  1 13 0 0  0.002049   -0.015432
2459164.592382   -0.026937    0.010540   2.414  0.0411  3.149 0.030 1.95026  1027.493  1026.394    0.02    13.01  9009  1 13 0 0  0.002046   -0.027249
2459164.592753   -0.037212    0.009079   2.414  0.0534  3.134 0.051 1.95555  1025.836  1024.623    0.03    13.08  7886  1 13 0 0  0.002043   -0.037560
2459165.554153    0.011202    0.006621   2.414  0.0259  2.898 0.098 1.56021  1025.016  1020.084    0.01    50.53 10796  1 13 0 0  0.003031    0.009662
2459165.554535   -0.013342    0.006517   2.414  0.0214  2.324 0.063 1.56343  1026.351  1022.244    0.00    46.23 13750  1 13 0 0  0.003031   -0.016356
2459165.554912   -0.006229    0.006365   2.414  0.0124  3.275 0.163 1.56661  1024.579  1025.636    0.01    42.24  8966  1 13 0 0  0.003031   -0.006801
2459165.555296   -0.005854    0.006360   2.414  0.0116  2.929 0.311 1.56988  1024.925  1026.525    0.00    38.67  9644  1 13 0 0  0.003031   -0.007313
2459165.555688   -0.004402    0.007079   2.414  0.0127  2.540 0.067 1.57323  1024.242  1021.598    0.01    35.14 12738  1 13 0 0  0.003030   -0.006861
2459165.556077   -0.006348    0.006497   2.414  0.0156  3.274 0.114 1.57658  1022.264  1022.600    0.01    32.40  7771  1 13 0 0  0.003030   -0.006921
2459165.573573   -0.032879    0.007405   2.414  0.0212  3.194 0.230 1.74804  1021.042  1023.272    0.01     9.65  8273  1 13 0 0  0.002588   -0.033396
2459165.573946   -0.010101    0.007486   2.414  0.0247  3.557 0.279 1.75218  1021.652  1025.425    0.02    10.32  7323  1 13 0 0  0.002577   -0.009679
